2006-06-01 14:30:00,2006-06-01 14:31:40,1,De,life.c
2006-06-01 14:31:40,2006-06-01 14:39:43,8,De,life.c
2006-06-01 14:39:43,2006-06-01 14:40:08,0,De,life.c
2006-06-01 14:40:08,2006-06-01 14:46:08,6,De,life.c
2006-06-01 14:46:08,2006-06-01 14:47:16,1,Ot,life.c
2006-06-01 14:47:16,2006-06-01 15:23:40,36,Ot,life.c
2006-06-01 15:23:40,2006-06-01 15:23:56,0,De,life.c
2006-06-01 15:23:56,2006-06-01 15:27:31,3,De,life.c
2006-06-01 15:27:31,2006-06-01 15:31:34,4,Ot,life.c
2006-06-01 15:31:34,2006-06-01 15:35:50,4,Ot,life.c
2006-06-01 15:35:50,2006-06-01 15:39:06,3,Ot,life.c
2006-06-01 15:39:06,2006-06-01 15:41:09,2,Ot,life.c
2006-06-01 15:41:09,2006-06-01 15:45:55,4,Ot,life.c
2006-06-01 15:45:55,2006-06-01 15:49:19,3,Ot,life.c
2006-06-02 09:05:23,2006-06-02 09:22:20,16,Ot,life.c
2006-06-02 09:22:20,2006-06-02 09:29:10,6,Ot,life.c
2006-06-02 09:29:10,2006-06-02 09:29:41,0,Ot,life.c
2006-06-02 09:29:41,2006-06-02 09:56:00,26,Ot,life.c
2006-06-05 12:09:59,2006-06-05 13:00:09,50,Ot,mpilife.c
2006-06-05 13:00:09,2006-06-05 13:22:59,22,Ot,mpilife.c
2006-06-06 14:19:38,2006-06-06 14:21:16,1,Ot,mpilife.c
2006-06-06 14:21:16,2006-06-06 14:28:35,7,Ot,mpilife.c
2006-06-06 14:28:35,2006-06-06 14:31:20,2,Ot,mpilife.c
2006-06-06 14:31:20,2006-06-06 14:33:09,1,Ot,mpilife.c
2006-06-06 14:33:09,2006-06-06 14:34:18,1,Ot,mpilife.c
2006-06-06 14:34:18,2006-06-06 14:39:11,4,Ot,mpilife.c
2006-06-06 14:39:11,2006-06-06 14:40:52,1,Ot,mpilife.c
2006-06-06 14:40:52,2006-06-06 14:43:16,2,Ot,mpilife.c
2006-06-06 14:43:16,2006-06-06 14:45:24,2,Ot,mpilife.c
2006-06-06 14:45:24,2006-06-06 14:47:36,2,Ot,mpilife.c
2006-06-06 14:47:36,2006-06-06 14:52:40,5,Ot,mpilife.c
2006-06-06 14:52:40,2006-06-06 14:57:28,4,Ot,mpilife.c
2006-06-06 14:57:28,2006-06-06 15:08:20,10,Ot,mpilife.c
2006-06-06 15:08:20,2006-06-06 15:12:04,3,Ot,mpilife.c
2006-06-06 15:12:04,2006-06-06 15:15:35,3,Ot,mpilife.c
2006-06-06 15:15:35,2006-06-06 15:18:09,2,Ot,mpilife.c
2006-06-10 13:08:55,2006-06-10 13:21:07,12,Ot,mpilife.c
2006-06-10 13:21:07,2006-06-10 13:24:25,3,Ot,mpilife.c
2006-06-10 13:24:25,2006-06-10 13:29:49,5,Ot,mpilife.c
2006-06-10 13:29:49,2006-06-10 13:35:46,5,Ot,mpilife.c
2006-06-10 13:35:46,2006-06-10 13:49:22,13,Ot,mpilife.c
2006-06-10 13:49:22,2006-06-10 14:05:43,16,Ot,mpilife.c
2006-06-10 14:05:43,2006-06-10 14:06:08,0,De,mpilife.c
2006-06-10 14:06:08,2006-06-10 14:08:56,2,De,mpilife.c
2006-06-10 14:08:56,2006-06-10 14:12:19,3,Ot,mpilife.c
2006-06-10 14:12:19,2006-06-10 14:43:41,31,Ot,mpilife.c
2006-06-10 14:43:41,2006-06-10 14:47:03,3,Ot,mpilife.c
2006-06-10 14:47:03,2006-06-10 14:53:39,6,Ot,mpilife.c
2006-06-10 14:53:39,2006-06-10 14:53:54,0,De,mpilife.c
2006-06-10 14:53:54,2006-06-10 14:57:16,3,De,mpilife.c
2006-06-10 14:57:16,2006-06-10 15:02:08,4,Ot,mpilife.c
2006-06-10 15:02:08,2006-06-10 15:04:06,1,Ot,mpilife.c
2006-06-10 15:04:06,2006-06-10 15:08:26,4,Ot,mpilife.c
2006-06-10 15:08:26,2006-06-10 15:20:13,11,Ot,mpilife.c
2006-06-10 15:20:13,2006-06-10 15:27:12,6,Ot,mpilife.c
2006-06-15 13:07:27,2006-06-15 13:10:31,3,Ot,mpilife.c
2006-06-15 13:10:31,2006-06-15 13:11:20,0,Ot,mpilife.c
2006-06-15 13:11:20,2006-06-15 13:22:40,11,Ot,mpilife.c
2006-06-15 13:22:40,2006-06-15 13:26:21,3,Ot,mpilife.c
2006-06-15 13:26:21,2006-06-15 13:27:45,1,Ot,mpilife.c
2006-06-15 13:27:45,2006-06-15 13:30:30,2,Ot,life.c
